Start_Time,ORB_Range,ORB_Mid,ORB_Size_ATR_Ratio,Gap_From_PrevClose,Gap_From_SessionOpen,WickTop_ORB,WickBottom_ORB,ORB_DirectionBias,ORB_VolumeRatio,HighLowSymmetry,ORB_Slope,ORB_StdDev,ORB_MomentumScore,Return_1,Return_3,Return_5,Return_10,ATR_Diff_1,ATR_Diff_5,RSI_0,RSI_Change_5,MACD_Hist_0,MACD_Hist_Change_5,Stoch_K_0,EMA9_Gap,EMA9_Slope,EMA21_Gap,EMA21_Slope,VWAP_Gap,VWAP_Slope,BullishCandleRatio_5,VolumeSpikeScore,PrevDayHigh_Dist,PrevDayLow_Dist,GapUpOrDown,End_Time,Profit,Label
1/4/2023 10:01:00 AM,84.75,13165.13,4,8805.5,8805,3.5,23.75,-1,4,-0.17,-1.3333,11.3556,-1.62,-0.0025,-0.0023,-0.0029,-0.0042,3.0998,2.3076,32.89,-12.48,-7.14,-1.12,63.68,-28.67,-12.09,-38.25,-8.4,-50.52,11.77,0.4,2.25,8870.5,8785.75,1,1/4/2023 10:03:00 AM,-855.68,0
1/6/2023 9:45:00 AM,149.5,13031.25,6.49,8620.25,8619.75,0.25,9.25,-1,1,-0.06,-6.95,45.6705,-0.39,-0.0007,-0.0033,-0.003,-0.0105,-0.3494,-0.0984,25.34,-6.32,-14.12,-10.76,13.29,-40.81,-44,-68.76,-28.32,-69.85,30.27,0.4,0.05,8769,8621,1,1/6/2023 9:55:00 AM,-925.68,0
1/9/2023 9:46:00 AM,49.75,13380.63,3.07,9066.5,9066.5,5,0,1,1.48,1.22,2.3,14.7769,0.82,0.001,0.0033,0.0025,0.003,0.1583,2.1303,70.34,9.44,8.58,0.58,90,26.71,14.64,38.02,9.71,74.59,-38.67,0.8,0.51,9068.5,9019.75,1,1/9/2023 10:36:00 AM,1614.32,1
1/10/2023 10:13:00 AM,108,13353,5.13,9048.75,9050.25,5.25,2,1,2.08,1.15,2.8333,16.2411,1.71,0.0027,0.0035,0.0035,0.0056,1.7085,0.7098,70.24,13.61,7.65,1.7,76.43,35.99,17.1,47.66,10.71,86.42,-41.25,0.6,1.11,9069,8961,1,1/10/2023 10:30:00 AM,-845.68,0
1/11/2023 10:10:00 AM,67,13485.5,4.9,9178,9177,2.25,2.75,1,0.72,1.01,1.6333,9.6352,0.37,0.0004,0.0011,0.0018,0.0016,-0.2827,-0.6901,62.21,12.99,1.96,0.94,80.31,12.41,12.61,17.07,6.03,46.35,-24.1,0.4,-0.29,9182,9115,1,1/11/2023 10:37:00 AM,-550.68,0
1/12/2023 9:45:00 AM,150,13604.75,6.14,9196.25,9195.75,7,0.75,-1,1.06,-0.08,-8.9167,39.9151,-0.6,-0.0011,-0.0043,-0.0068,-0.0062,-0.1474,1.2117,25.57,-17.81,-18.97,-6.92,3.57,-49.43,-44.06,-79.56,-28.65,-110.58,17.24,0.2,-0.01,9342.75,9194.25,1,1/12/2023 10:05:00 AM,-980.68,0
1/13/2023 10:01:00 AM,50.25,13602.38,2.61,9281.5,9281,21.25,17,1,3.34,1.23,2.7667,9.503,1.06,0.0015,0.0016,0.001,0.0015,3.0366,1.9232,63.82,2.58,8.66,0.8,44.75,15.65,6.87,24.45,6.9,19.17,-0.25,0.6,1.87,9290.5,9240.25,1,1/13/2023 2:32:00 PM,1919.32,1
1/16/2023 10:11:00 AM,23.25,13760.63,5.29,9414,9414,0,5.75,-1,2.04,-0.01,-0.6833,5.4545,-0.74,-0.0002,-0.0002,-0.0006,-0.0012,0.3541,0.2159,33.47,-10.42,-0.66,-1.53,33.57,-5.84,-6.84,-8.83,-3.67,10.3,-19.97,0.2,0.59,9434.25,9411.5,1,1/16/2023 10:35:00 AM,-180.68,0
1/17/2023 10:01:00 AM,71,13746,4.77,9437.75,9437.75,10.75,0,1,2.83,1.21,2.95,11.8009,1.43,0.0015,0.0021,0.0014,0.0034,1.3158,0.4242,69.14,6.12,6.39,2.43,73.22,21.35,8.76,30.93,7.37,54.35,-38.35,0.6,1.37,9443.5,9373.5,1,1/17/2023 10:42:00 AM,-600.68,0
1/18/2023 10:01:00 AM,54.5,13860.5,3.43,9543.5,9543,8.75,0,1,2.88,1.17,3.05,13.852,1.05,0.0012,0.002,0.0025,0.0017,0.7591,-0.1386,64.75,14.02,3.09,1.87,88.51,21.24,10.59,28.59,6.27,63.59,-27.92,0.4,1.51,9550.75,9496.25,1,1/18/2023 10:19:00 AM,-640.68,0
